Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-01-23,Nightcrawler,2014,https://boxd.it/8Ac7Yp,4,,,2025-01-23
2026-01-28,F1,2025,https://boxd.it/cRb16z,3.5,,,2025-07-10
2026-01-04,Gone Baby Gone,2007,https://boxd.it/cqmg0l,4,,,2026-01-03
2026-01-28,Blink Twice,2024,https://boxd.it/cRcFOX,2.5,,,2026-01-16
2026-01-27,American Psycho,2000,https://boxd.it/cQYNGT,3.5,,,2026-01-23
2026-01-27,Donnie Darko,2001,https://boxd.it/cR6aKD,3.5,,,2026-01-27
2026-01-27,Oldboy,2003,https://boxd.it/cRaMaV,5,,,2026-01-27
2026-01-27,Uncut Gems,2019,https://boxd.it/cRaW2n,3,,,2026-01-27
2026-01-30,Ocean's Twelve,2004,https://boxd.it/cTLi1h,3,,,2026-01-30
2026-01-30,Kill Bill: Vol. 1,2003,https://boxd.it/cTPOtP,4.5,,,2026-01-30
2026-02-05,The Accountant,2016,https://boxd.it/cZIsWb,3.5,,,2026-02-05
